| # | Elapsed (Countdown) | Time (UTC) | UP Shares on Book (Bought) & Price | DOWN Shares on Book (Bought) & Price | Total Cost | Execution Gap | How Soon It Dried Up | Guaranteed Profit |
| 55 | T+078s (T-222s) | 22:06:18 | 60.0 sh (Bt 9.0) @ $0.09 | 12.7 sh (Bt 5.5) @ $0.83 | $0.920 (92¢) | 1.0s (Instant) | Dried up in 1s | +$0.080 (+8.7%) |
| 56 | T+079s (T-221s) | 22:06:19 | 58.7 sh (Bt 14.6) @ $0.14 | 398.9 sh (Bt 57.1) @ $0.85 | $0.987 (99¢) | 0ms (Instant) | Dried up in 5s | +$0.013 (+1.3%) |
| 57 | T+079s (T-221s) | 22:06:19 | 58.7 sh (Bt 14.6) @ $0.14 | 12.7 sh (Bt 5.5) @ $0.83 | $0.970 (97¢) | 0ms (Instant) | Dried up in 0ms | +$0.030 (+3.1%) |
| 58 | T+079s (T-221s) | 22:06:19 | 80.7 sh (Bt 0.1) @ $0.13 | 398.9 sh (Bt 57.1) @ $0.85 | $0.977 (98¢) | 0ms (Instant) | Dried up in 5s | +$0.023 (+2.4%) |
| 59 | T+079s (T-221s) | 22:06:19 | 110.0 sh (Bt 22.0) @ $0.12 | 398.9 sh (Bt 57.1) @ $0.85 | $0.967 (97¢) | 0ms (Instant) | Dried up in 5s | +$0.033 (+3.4%) |
| 60 | T+079s (T-221s) | 22:06:19 | 110.1 sh (Bt 22.0) @ $0.12 | 398.9 sh (Bt 57.1) @ $0.85 | $0.970 (97¢) | 0ms (Instant) | Dried up in 5s | +$0.030 (+3.1%) |
| 61 | T+079s (T-221s) | 22:06:19 | 110.0 sh (Bt 22.0) @ $0.11 | 398.9 sh (Bt 57.1) @ $0.85 | $0.957 (96¢) | 0ms (Instant) | Dried up in 5s | +$0.043 (+4.5%) |
| 62 | T+079s (T-221s) | 22:06:19 | 132.0 sh (Bt 22.0) @ $0.12 | 398.9 sh (Bt 57.1) @ $0.85 | $0.965 (96¢) | 0ms (Instant) | Dried up in 5s | +$0.035 (+3.6%) |
| 63 | T+079s (T-221s) | 22:06:19 | 88.0 sh (Bt 22.0) @ $0.11 | 398.9 sh (Bt 57.1) @ $0.85 | $0.955 (96¢) | 0ms (Instant) | Dried up in 5s | +$0.045 (+4.7%) |
| 64 | T+079s (T-221s) | 22:06:19 | 60.0 sh (Bt 51.0) @ $0.09 | 398.9 sh (Bt 57.1) @ $0.85 | $0.937 (94¢) | 0ms (Instant) | Dried up in 5s | +$0.063 (+6.7%) |
